condition,id,unit,yaw10,pitch10,roll10,all_three_10,reaches_kleinberg_floor_8pct
persp_1.0m,nasolabial_angle,deg,0.1524422590824912,1.4210854715202004e-14,0.44796650695104745,0.6146243258069433,False
persp_1.0m,facial_convexity_angle,deg,0.06403589878621574,0.0,0.04303751417643298,0.0434545955508554,False
persp_1.0m,mentolabial_angle,deg,0.16745980153883977,8.526512829121202e-14,0.16835059594737345,0.6412474005893642,False
persp_1.0m,mentocervical_angle,deg,1.2002735655510577,1.4210854715202004e-14,0.2531351314644752,0.004600920887853022,False
persp_1.0m,submental_cervical_angle,deg,1.2763652805936516,1.4210854715202004e-14,0.25340937868787705,0.23940268612734883,False
persp_1.0m,gonial_angle_l,deg,6.999214502209071,0.2891454488218983,11.154009836634941,4.681296987455113,False
persp_1.0m,gonial_angle_r,deg,1.3779420109536318,0.2549349167080379,12.025626291512907,6.170411951366475,False
persp_1.0m,e_line_upper_lip,mm,0.002667085168227806,0.09440018767797172,0.009773536523883108,0.10477362550001174,False
persp_1.0m,e_line_lower_lip,mm,0.002142589654603605,0.09440018767797338,0.01189420915518039,0.10370367322012049,False
persp_1.0m,nasal_tip_projection_ratio,ratio,0.10319293620102081,0.03502174351483064,0.008046092155198564,0.027876774015822402,True
persp_1.0m,submental_length,mm,0.02285358953290298,0.0,0.015231185950773675,0.008917174296507013,False
persp_1.0m,chin_projection,mm,0.007133888853442905,1.8949377073484417,0.04724403635758723,2.1547415117603603,False
persp_1.0m,brow_apex_lateral_offset_l,ratio,0.08120823937574768,0.009576766486117747,0.002906531452387213,0.07010844080192907,True
persp_1.0m,margin_reflex_distance_1_l,mm,0.005519839922002553,0.009744469991654656,0.015192246987791792,0.02460856893740698,False
persp_1.0m,margin_reflex_distance_2_l,mm,0.005519839922002717,0.011575391721226711,0.015192246987792453,0.026681429510263383,False
persp_1.0m,medial_canthal_angle_l,deg,0.3271155689400018,0.353421820439479,0.025665949310038627,1.0281981914894018,False
persp_1.0m,brow_apex_lateral_offset_r,ratio,0.0926661754131951,0.01045213490583534,0.0029371827036271886,0.10169689120811955,True
persp_1.0m,margin_reflex_distance_1_r,mm,0.005482590950184632,0.009709859097801109,0.01519224698779195,0.033327347287157784,False
persp_1.0m,margin_reflex_distance_2_r,mm,0.005482590950184632,0.011609872338491846,0.01519224698779195,0.03544001715462353,False
persp_1.0m,medial_canthal_angle_r,deg,1.442574475333835,0.36554492294687435,0.02749943955845424,0.707127447147009,False
persp_1.0m,upper_vermilion_height,mm,0.000904551206625466,0.07974821536440585,0.00014063355850837692,0.09236268271834087,False
persp_1.0m,lower_vermilion_height,mm,0.0009525069391531114,0.08163454041373211,0.00014063355850660927,0.09445069780551071,False
persp_1.0m,cupids_bow_peak_height_l,mm,0.03892685845416059,0.18242472705527307,0.015850211035507364,0.15656404064054583,False
persp_1.0m,cupids_bow_peak_height_r,mm,0.03573346450457195,0.18242472705527307,0.01585021103552428,0.21889651958417,False
persp_1.0m,commissure_height_l,ratio,2.4655499380025256,11.864632805217534,0.020629409292419534,11.608293147295173,True
persp_1.0m,commissure_height_r,ratio,0.47647847150111006,2.3828221300409482,0.022489251044922883,3.0924461453818064,True
persp_1.0m,upper_lip_projection,mm,0.004416645413131177,0.03097844495751283,0.0065754672916756894,0.037246745851740745,False
persp_1.0m,nasal_dorsal_deviation,deg,7.951761635505463,0.0,0.2824457312933504,3.9891371422036457,False
persp_1.0m,alar_base_intercanthal_ratio,ratio,0.000423519689303313,0.008855718526473388,0.0,0.010216719454703803,False
persp_1.0m,nasal_tip_rotation,deg,0.11800827347129683,10.000000000000021,0.06989180836942666,10.686504810736075,False
persp_1.0m,midface_projection,mm,0.007825054667558007,1.2741415350730367,0.030706184628618072,1.4371670910582348,False
persp_1.0m,chin_height,mm,0.0010504064763449884,2.6244494760629696e-16,0.013141691750236389,0.01551097586293893,False
persp_1.0m,labiomental_sulcus_depth,mm,0.00013014869656179573,0.08669443779182076,0.012629070953373336,0.09633461238995512,False
persp_1.0m,ramus_body_ratio_l,ratio,0.19485726843377843,0.0048277504134508166,0.059189785584982585,0.30628867707762036,True
