id,axis,apriori,apriori_source,measured_ortho,measured_persp_1.0m,measured_persp_0.5m,measured_ortho_asym,measured_3d_frame_dependence,worst_measured,worst_over_apriori,disagrees,direction
margin_reflex_distance_2_r,yaw,0.0,"cos(pitch), first order",0.0,0.000550121543609361,0.0011003168245254874,0.0,0.0,0.0011003168245254874,inf,True,a-priori too optimistic
margin_reflex_distance_2_r,roll,0.0,"cos(pitch), first order",0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,0.0015192246987792031,inf,True,a-priori too optimistic
middle_third_height,yaw,0.0,"cos(pitch), first order",1.1963304597978889e-06,3.0089209796088846e-05,6.262762981089476e-05,1.1963304597978889e-06,0.0,6.262762981089476e-05,inf,True,a-priori too optimistic
middle_third_height,roll,0.0,"cos(pitch), first order",2.001528833127043e-17,1.529591597490249e-06,3.1147339971542074e-06,2.001528833127043e-17,2.0007352054855627e-17,3.1147339971542074e-06,inf,True,a-priori too optimistic
mouth_width,pitch,0.0,"cos(yaw), first order",3.567645929416877e-07,0.0006579405230563284,0.001337098581056313,1.0077793364082914e-05,0.0,0.001337098581056313,inf,True,a-priori too optimistic
nose_breadth,pitch,0.0,"cos(yaw), first order",0.0,0.00024392933683462076,0.0004936679885457462,1.4110040102491775e-06,0.0,0.0004936679885457462,inf,True,a-priori too optimistic
nose_height,yaw,0.0,"cos(pitch), first order",5.365895638912537e-05,2.2661700666983162e-05,9.61821014974068e-06,5.365895638912537e-05,0.0,5.365895638912537e-05,inf,True,a-priori too optimistic
nose_height,roll,0.0,"cos(pitch), first order",1.340646671245472e-17,1.009997223495552e-05,2.026680168617806e-05,1.340646671245472e-17,0.0,2.026680168617806e-05,inf,True,a-priori too optimistic
nose_mouth_width_ratio,pitch,0.0,cosine cancels between same-plane terms,3.567658657467463e-07,0.0004141386473598594,0.0008438472292983604,1.0077561679033838e-05,0.0,0.0008438472292983604,inf,True,a-priori too optimistic
palpebral_fissure_height_l,yaw,0.0,"cos(pitch), first order",0.0,0.0005501218172786211,0.0011003190140757685,1.796525950408832e-05,0.0,0.0011003190140757685,inf,True,a-priori too optimistic
palpebral_fissure_height_r,yaw,0.0,"cos(pitch), first order",0.0,0.0005501218172786098,0.001100319014075766,2.0618277171571073e-05,0.0,0.001100319014075766,inf,True,a-priori too optimistic
palpebral_fissure_width_l,pitch,0.0,"cos(yaw), first order",0.0005111494064428098,0.0011595216237002873,0.0017931873794231439,0.0004405683535961269,5.771051998019944e-18,0.0017931873794231439,inf,True,a-priori too optimistic
palpebral_fissure_width_l,roll,0.0,"cos(yaw), first order",6.1020595356191035e-18,0.00021021258819734078,0.00042355102784810694,6.1020595356191035e-18,1.1542103996039888e-17,0.00042355102784810694,inf,True,a-priori too optimistic
palpebral_fissure_width_r,pitch,0.0,"cos(yaw), first order",0.0006120449409477625,0.0012751774060579303,0.0019236156415877407,0.0004304272205126414,5.762381820405594e-18,0.0019236156415877407,inf,True,a-priori too optimistic
palpebral_fissure_width_r,roll,0.0,"cos(yaw), first order",6.0918130026576986e-18,0.00020949508256553904,0.000422080366260005,6.0918130026576986e-18,5.762381820405594e-18,0.000422080366260005,inf,True,a-priori too optimistic
philtrum_length,yaw,0.0,"cos(pitch), first order",0.00024093925822559945,0.000166033018056688,8.758589033391762e-05,0.00024093925822559945,0.0,0.00024093925822559945,inf,True,a-priori too optimistic
philtrum_length,roll,0.0,"cos(pitch), first order",2.3684757858670005e-17,2.101717445873902e-05,4.1392279200187824e-05,2.3684757858670005e-17,2.199074560103657e-17,4.1392279200187824e-05,inf,True,a-priori too optimistic
philtrum_width,pitch,0.0,"cos(yaw), first order",0.0,0.0005579682633819394,0.0011432589703032198,0.0001265184631749476,0.0,0.0011432589703032198,inf,True,a-priori too optimistic
upper_face_height,yaw,0.0,"cos(pitch), first order",1.3045634554999405e-05,2.545770307483126e-05,6.596813073606476e-05,1.3045634554999405e-05,0.0,6.596813073606476e-05,inf,True,a-priori too optimistic
