id,unit,view,value_orthographic,landmark_depth_span_mm,dev_0.3m,dev_0.4m,dev_0.5m,dev_0.7m,dev_1.0m,dev_1.5m,dev_2.0m,dev_3.0m,implied_depth_straddle_mm_mean,implied_depth_straddle_mm_spread,straddle_constant_across_distance,icao_predicts
jaw_cheekbone_ratio,ratio,frontal,0.8297872340425532,6.0,-0.018292682926829167,-0.014018691588785135,-0.0113636363636363,-0.008241758241758202,-0.0058365758754863155,-0.003926701570680763,-0.002958579881656814,-0.001981505944517705,-5.766829536623237,0.45671295550436586,True,True
ocular_height_asymmetry,deg,frontal,0.32521472425483294,8.0,5.551115123125783e-17,-1.1102230246251565e-16,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-5.551115123125783e-17,0.0,-1.1102230246251565e-16,,,,
mouth_corner_asymmetry,deg,frontal,0.8814039965821346,16.0,-7.216449660063518e-15,1.3100631690576847e-14,1.454392162258955e-14,-2.3314683517128287e-15,2.55351295663786e-15,6.661338147750939e-16,9.103828801926284e-15,-8.992806499463768e-15,,,,
canthal_tilt_asymmetry,deg,frontal,1.0000000000000027,10.0,0.018034106905282066,0.013445337017635062,0.010718104723194344,0.007624861990970899,0.005321277253472978,0.0035391997753162485,0.0026512910274076873,0.0017654595033675946,,,,
nasofrontal_angle,deg,profile,121.53479190518829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
nasolabial_angle,deg,profile,100.66978280449668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
facial_convexity_angle,deg,profile,173.192032159384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
mentolabial_angle,deg,profile,113.38522105721376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
mentocervical_angle,deg,profile,87.36707506187837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
submental_cervical_angle,deg,profile,110.81558506742743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
gonial_angle_l,deg,profile,138.25425189663338,72.0,16.616791475623558,13.39594295560434,11.203532732883644,8.425652146816333,6.1323805031705945,4.214352149650608,3.209083387260307,2.172023632562798,,,,
gonial_angle_r,deg,profile,138.25425189663338,72.0,-28.632762885900007,-20.510582680741237,-15.859181311877265,-10.84505485418768,-7.32904074724533,-4.748800759930077,-3.5102179774475815,-2.3060215970756985,,,,
e_line_upper_lip,mm,profile,-2.6721019108280224,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,True,False
e_line_lower_lip,mm,profile,-0.6244585987261111,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,True,False
nasal_tip_projection_ratio,ratio,profile,0.5547001962252291,17.0,0.03932702418506847,0.029896083133493224,0.024113475177305017,0.017387261738726064,0.012258275975090174,0.008217974071632637,0.006180796562551653,0.004132140095017141,12.165951475921556,0.5983130295308818,True,True
submental_length,mm,profile,70.02856560004639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
chin_projection,mm,profile,-4.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,True,False
brow_apex_lateral_offset_l,ratio,frontal,-0.6870308262701693,16.0,-0.05125937311866703,-0.037934065620955235,-0.030106064222079836,-0.021309909104913104,-0.014816054202580796,-0.009825523734860252,-0.007349813637912024,-0.0048870395227828475,-14.929561539688132,0.7166933672515654,True,True
margin_reflex_distance_1_l,mm,frontal,5.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
margin_reflex_distance_2_l,mm,frontal,5.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
medial_canthal_angle_l,deg,frontal,36.849835844412866,2.0,0.23733927213595507,0.17742893500808776,0.14166831305144,0.10096821809239032,0.07056089848138214,0.04698018430357109,0.03521252597314373,0.02345996165369968,,,,
brow_apex_lateral_offset_r,ratio,frontal,-0.6858771692194989,16.0,-0.05135848503722748,-0.03800873361335975,-0.030165945601260635,-0.02135279307735964,-0.014846127546045872,-0.009845599382446507,-0.007364880033769028,-0.004897090063789682,-14.959565473739618,0.7162753197991982,True,True
margin_reflex_distance_1_r,mm,frontal,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
margin_reflex_distance_2_r,mm,frontal,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
medial_canthal_angle_r,deg,frontal,38.14551356559267,2.0,0.2444723215336282,0.1827635685425264,0.14592877731330844,0.10400551485253828,0.07268392281755354,0.04839393896014599,0.03627224483416569,0.02416604323101268,,,,
upper_vermilion_height,mm,frontal,4.0,1.0,0.023224950232247465,0.018181818181815856,0.01487896957583601,0.01088031651829624,0.007739693571316764,0.005220430973025714,0.003937260333703563,0.0026391188620706885,7.58226699720006,0.9498715165378258,False,True
lower_vermilion_height,mm,frontal,8.0,2.0,0.012143091565476993,0.010079575596817492,0.00849608297473381,0.006400787789267781,0.004645303519408728,0.0031786833136351333,0.0024138350524705032,0.0016287334550888488,4.441318701036678,1.243272895623449,False,True
cupids_bow_peak_height_l,mm,frontal,1.5,26.0,0.44663069924891374,0.3217279174726002,0.25134441962438814,0.17479910335422724,0.11996611348615716,0.0787709641004047,0.0586340373574501,0.038796812518531475,122.81162885389077,17.598772219079706,False,True
cupids_bow_peak_height_r,mm,frontal,1.5,26.0,0.44663069924891374,0.3217279174726002,0.25134441962438814,0.17479910335422724,0.11996611348615716,0.0787709641004047,0.0586340373574501,0.038796812518531475,122.81162885389077,17.598772219079706,False,True
commissure_height_l,ratio,frontal,-0.015382795043203928,25.0,-2.9454545454545555,-2.1599999999999895,-1.7052631578947377,-1.1999999999999889,-0.8307692307692214,-0.5491525423728839,-0.410126582278481,-0.2722689075630289,-841.4782342697899,66.82964094727993,True,True
commissure_height_r,ratio,frontal,0.0,25.0,nan,nan,nan,nan,nan,nan,nan,nan,,,,
upper_lip_projection,mm,profile,7.30327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
nasal_dorsal_deviation,deg,frontal,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
alar_base_intercanthal_ratio,ratio,frontal,0.875,10.0,0.034722222222222196,0.025773195876288697,0.02049180327868846,0.014534883720930354,0.010121457489878694,0.00672043010752686,0.005030181086519013,0.0033467202141901353,10.181111340994379,0.376506024096253,True,True
nasal_tip_rotation,deg,profile,32.47119229084849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
midface_projection,mm,profile,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
chin_height,mm,profile,27.073972741361768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
labiomental_sulcus_depth,mm,profile,-5.58284023668639,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,True,False
ramus_body_ratio_l,ratio,profile,2.071738350299041,72.0,-0.26847757906533015,-0.20976701127705988,-0.1715540386498352,-0.12524453554017115,-0.08884336923820675,-0.05970519936897302,-0.04491855581457273,-0.030019197692734187,-87.02426817905933,9.514319358603515,False,True
ramus_body_ratio_r,ratio,profile,2.071738350299041,72.0,0.2304301545537703,0.19809169391525025,0.16739004484179906,0.12469960219920888,0.08900713411846473,0.059882558220295486,0.04503912303074092,0.030079417099447527,84.81224208766366,21.109204932211497,False,True
