id,unit,view,lossless_mean,lossless_sd,lossless_noise,q95_mean,q95_sd,q95_noise,q85_mean,q85_sd,q85_noise,q75_mean,q75_sd,q75_noise,jpeg_only_mean,jpeg_only_sd,jpeg_only_noise
cupids_bow_peak_height_r,mm,frontal,1.5007631835840545,0.007034592659401784,0.004687343570490642,1.5003088994720144,0.008193165254198245,0.005460985572425496,1.4972228217480048,0.009164363101211359,0.00612090796913714,1.4973485983781238,0.010591236777950219,0.007073327339687151,1.4978333597685276,0.008976013934100833,0.005992665255825234
commissure_height_l,ratio,frontal,-0.015389914990816904,0.00017003546965707202,0.011048499602404007,-0.015382983373273753,0.00018942432595142554,0.012313887453101557,-0.015466902682389705,0.00018869048772563886,0.012199629854817534,-0.01557118836825708,0.00021952258059716793,0.014097997879511852,-0.015466419358473886,0.00020256647591192288,0.013097179846021625
commissure_height_r,ratio,frontal,4.478332658684866e-06,0.00015670887937617128,34.99268395621851,1.0721633539324456e-05,0.00017909498094289397,16.704075949435808,-4.5486143414501674e-05,0.00020104685330404645,4.419958216109165,-4.4676264709080996e-07,0.0002167941951067816,485.255865767837,-6.463737468756911e-06,0.00018878791341949523,29.20723719551104
upper_lip_projection,mm,profile,7.048571795237173,0.07241583149508081,0.010273830443780581,7.04531365881448,0.0698835513620855,0.009919154028671714,7.042369893135885,0.07180241310008727,0.010195774176825366,7.0528579281511865,0.07146040053229927,0.010132119668406771,7.048924616015479,0.0072655973032464995,0.0010307384032365349
nasal_dorsal_deviation,deg,frontal,0.00952758665042154,0.006596101303246982,0.006596101303246982,0.011168664007799265,0.008039276666479382,0.008039276666479382,0.011075120331104457,0.007758192760527227,0.007758192760527227,0.014995899426947972,0.011324400380407692,0.011324400380407692,0.012760599348896591,0.008777920256593843,0.008777920256593843
alar_base_intercanthal_ratio,ratio,frontal,0.8750210395442157,0.00027290034259364244,0.00031187860663989497,0.8750085004065699,0.0003582546757208261,0.00040942993759987957,0.8749992446898848,0.00033835281523812114,0.00038668926549535406,0.8750353260144227,0.00043738117120757674,0.0004998440156693373,0.8749832118864116,0.00035686345958030113,0.0004078517790197652
nasal_tip_rotation,deg,profile,32.47390154810515,0.034389544052521766,0.034389544052521766,32.47245998794674,0.037923866958041945,0.037923866958041945,32.485867867673306,0.03725824680705172,0.03725824680705172,32.48045984247908,0.0426262443034016,0.0426262443034016,32.48465714877885,0.03810056180578393,0.03810056180578393
midface_projection,mm,profile,7.999942341757519,0.0068784734639178785,0.0008598153799201928,8.000471488305159,0.00726591651339897,0.0009081860392878171,8.000345035693577,0.008134456211361208,0.0010167631739717842,7.999230770218701,0.0108347548744613,0.0013544745970824237,7.999858038627862,0.008888929491118497,0.001111135903687002
chin_height,mm,profile,27.07367372511672,0.007090807720213624,0.00026190785159811383,27.076627901459553,0.006935271817832044,0.00025613499003907355,27.077590517620187,0.009002811979817206,0.0003324820195489259,27.081345803315227,0.00975417619312818,0.00036018063001633027,27.079301337104344,0.00892403406674737,0.00032955185791738153
labiomental_sulcus_depth,mm,profile,-5.58348933064806,0.006025231738980182,0.0010791158328014303,-5.583974133876049,0.006517587728857822,0.0011671951861878908,-5.584318101801269,0.006696331874679425,0.001199131523778967,-5.584170199841449,0.008194806786283313,0.001467506629098803,-5.5827330774358055,0.0071777039253987755,0.00128569713540658
ramus_body_ratio_l,ratio,profile,2.071749282422865,0.00032033933908454787,0.00015462263788498483,2.071719062803017,0.00036834545651477077,0.0001777970107667025,2.071755520659705,0.00039733242540845485,0.00019178538270863787,2.071880327081077,0.0004400431507429359,0.00021238830495720813,2.071727477993755,0.0003877582662589424,0.00018716663768655737
ramus_body_ratio_r,ratio,profile,2.071749282422865,0.00032033933908454787,0.00015462263788498483,2.071719062803017,0.00036834545651477077,0.0001777970107667025,2.071755520659705,0.00039733242540845485,0.00019178538270863787,2.071880327081077,0.0004400431507429359,0.00021238830495720813,2.071727477993755,0.0003877582662589424,0.00018716663768655737
