id,raw,mc_median,shift,rel_shift,ci_low,ci_high,sd,n_valid,reportability,unavailable
e_line_lower_lip,-0.6244585987261111,-0.6244605670344118,-1.9683083006816204e-06,-3.1520236965219926e-06,-0.6246851002134874,-0.6242355027967099,0.00011509484190114132,4096,withhold,False
nasal_tip_projection_ratio,0.5547001962252291,0.554700119171046,-7.705418314518653e-08,-1.3891140415948156e-07,0.5546951113682708,0.5547054889251717,2.641047835761255e-06,4096,caveat,False
submental_length,70.02856560004639,70.02856510257662,-4.974697702664344e-07,-7.103812080167822e-09,70.02828132405172,70.02884218539509,0.00014298904749584913,4096,withhold,False
chin_projection,-4.0,-3.999997879156619,2.120843380915005e-06,5.302108452287513e-07,-4.000269455988918,-3.9997292786259235,0.00013998792441170704,4096,withhold,False
brow_apex_lateral_offset_l,-0.6497626906954594,-0.6497624969235689,1.9377189053315647e-07,2.982194781386369e-07,-0.6497713047775581,-0.6497537039809034,4.438043756321747e-06,4096,caveat,False
margin_reflex_distance_1_l,5.3,5.299997214644991,-2.7853550088607903e-06,-5.255386809171302e-07,5.299716507647971,5.300280033185522,0.00014253552398072082,4096,caveat,False
margin_reflex_distance_2_l,5.300000000000001,5.299998156864373,-1.8431356281212175e-06,-3.477614392681542e-07,5.299736943302529,5.300279656506891,0.00014046521341813453,4096,caveat,False
medial_canthal_angle_l,36.580564494963774,36.580555683683414,-8.811280359566354e-06,-2.4087327468058746e-07,36.57952298351109,36.58161745913142,0.0005334653296346419,4096,caveat,False
brow_apex_lateral_offset_r,-0.6487865154786289,-0.6487864629896847,5.248894419107586e-08,8.090326006907406e-08,-0.6487949547504019,-0.6487780427867357,4.358744968851302e-06,4096,caveat,False
margin_reflex_distance_1_r,5.5,5.50000036190931,3.619093096318693e-07,6.580169266033987e-08,5.499724426830178,5.500279927495883,0.0001417932672974378,4096,caveat,False
margin_reflex_distance_2_r,5.5,5.499998811843092,-1.1881569079719156e-06,-2.160285287221665e-07,5.499725868148426,5.500277041317974,0.00014125434203230642,4096,caveat,False
medial_canthal_angle_r,37.86806137204525,37.86806191265843,5.406131862173424e-07,1.4276230856022404e-08,37.86700683901928,37.869120525108,0.0005317796942847683,4096,caveat,False
upper_vermilion_height,4.123105625617661,4.123104211703446,-1.413914214154488e-06,-3.429245676777143e-07,4.122831874444638,4.123380026940079,0.00013965733403454745,4096,caveat,False
lower_vermilion_height,8.246211251235321,8.246214127908907,2.876673585561207e-06,3.488479130497982e-07,8.245932516281611,8.246489845386488,0.0001413385681756193,4096,caveat,False
cupids_bow_peak_height_l,1.5,1.5000000310787167,3.107871671126361e-08,2.071914447417574e-08,1.499732095961866,1.500277616160234,0.00014073309047278148,4096,caveat,False
cupids_bow_peak_height_r,1.5,1.4999977705663357,-2.2294336643469137e-06,-1.4862891095646091e-06,1.4997210970227508,1.500276485173587,0.00014063648636698136,4096,caveat,False
commissure_height_l,-0.015382795043203928,-0.015382822946697617,-2.7903493689251935e-08,-1.8139417193613078e-06,-0.015388590801159582,-0.01537713841952097,2.937260191024014e-06,4096,caveat,False
commissure_height_r,0.0,-4.985090844523007e-08,-4.985090844523007e-08,inf,-5.779081439434018e-06,5.697886673551284e-06,2.9032524298996645e-06,4096,withhold,False
upper_lip_projection,7.30327868852459,7.303274354660269,-4.3338643207491145e-06,-5.934135209106532e-07,7.303027712824596,7.303523095211119,0.00012527531422459607,4096,withhold,False
nasal_dorsal_deviation,0.0,0.00014098258325390134,0.00014098258325390134,inf,6.18471300128931e-06,0.0004500566619558555,0.000122092754378532,4096,withhold,False
alar_base_intercanthal_ratio,0.875,0.8750001168728447,1.1687284473538284e-07,1.335689654118661e-07,0.874988687508621,0.8750114772971842,5.864537755979615e-06,4096,caveat,False
nasal_tip_rotation,32.47119229084849,32.471176004839066,-1.6286009426380588e-05,-5.015525540455917e-07,32.46998541589073,32.47241753992556,0.0006226566789970814,4096,caveat,False
midface_projection,8.0,8.000002745275205,2.7452752053847007e-06,3.431594006730876e-07,7.999722791406969,8.00028942043254,0.00014187285262952634,4096,withhold,False
chin_height,27.073972741361768,27.073968446730838,-4.294630929990717e-06,-1.586258127323026e-07,27.07369927117623,27.0742379294591,0.0001395441455652912,4096,caveat,False
labiomental_sulcus_depth,-5.58284023668639,-5.582840210367022,2.63193680183349e-08,4.7143330101733954e-09,-5.583066745999962,-5.5826133721095985,0.0001147900118211666,4096,withhold,False
ramus_body_ratio_l,1.2564726038618268,1.2564724619733867,-1.4188844010831758e-07,-1.12926011814517e-07,1.2564656534148146,1.2564795208610904,3.542708420873415e-06,4096,caveat,False
ramus_body_ratio_r,1.2564726038618268,1.256472591915239,-1.1946587719080526e-08,-9.508036770847318e-09,1.2564661145171483,1.2564796087176,3.5082652430949657e-06,4096,caveat,False
