id,unit,evidence,spec_measured_within_person_rsd,spec_between_subject_rsd,between_person_mean,between_person_sd,between_person_rsd,expression_within_person,expression_within_person_sd_units,expression_n_subjects,expression_discriminability,expression_discriminability_ci_low,expression_discriminability_ci_high,expression_informative,expression_reportable_cv_under_10pct,frontal_within_person,frontal_within_person_sd_units,frontal_n_subjects,frontal_discriminability,frontal_discriminability_ci_low,frontal_discriminability_ci_high,frontal_informative,frontal_reportable_cv_under_10pct,three_quarter_within_person,three_quarter_within_person_sd_units,three_quarter_n_subjects,three_quarter_discriminability,three_quarter_discriminability_ci_low,three_quarter_discriminability_ci_high,three_quarter_informative,three_quarter_reportable_cv_under_10pct,all_usable_within_person,all_usable_within_person_sd_units,all_usable_n_subjects,all_usable_discriminability,all_usable_discriminability_ci_low,all_usable_discriminability_ci_high,all_usable_informative,all_usable_reportable_cv_under_10pct
facial_width_height_ratio,ratio,requires_3d,0.12,0.07960199004975126,1.7493867328979864,0.10754089866659332,0.06147348476139635,0.02663944918660136,0.047268176415251856,102,2.3076109543704533,2.054114027497234,2.574026675942484,True,True,0.02663944918660136,0.047268176415251856,102,2.3076109543704533,2.045249298733109,2.612819593669312,True,True,0.0518927559853863,0.0751575244950603,102,1.1846255531062584,1.091958691555742,1.3252003570345676,True,True,0.12517537586901417,0.19747478337622368,102,0.49109886297224575,0.47654411044517003,0.5053950495954063,False,False
jaw_cheekbone_ratio,ratio,requires_3d,0.08,0.06675487130141929,0.7955623680292623,0.02060269701211722,0.02589702308714458,0.007795548899675543,0.006228757386897242,102,3.32202689258,2.9277234687442917,3.884433014881623,True,True,0.007795548899675543,0.006228757386897242,102,3.32202689258,2.870410402421957,3.8871678869363477,True,True,0.017630571639600995,0.013912598194689903,102,1.4688703019121545,1.3416635089899742,1.629921552008787,True,True,0.016103633342581188,0.012762019105163022,102,1.6081478344807898,1.498822165959038,1.7198741606405648,True,True
ocular_height_asymmetry,deg,pose_invariant_ratio,,,0.13361639249829893,0.09732828637720312,0.7284157621486615,0.08610556420901169,0.08610556420901169,102,1.1303367821962065,0.9684832612627761,1.3619248792003047,False,,0.08610556420901169,0.08610556420901169,102,1.1303367821962065,0.9899248073119123,1.341205684868657,False,,0.33423268374808873,0.33423268374808873,102,0.29119918879794376,0.2607915634898059,0.33266673184322737,False,,0.4933164141288788,0.4933164141288788,102,0.19729383330791853,0.1863098567317609,0.20795864132696912,False,
mouth_corner_asymmetry,deg,pose_invariant_ratio,,,1.0627383064417435,0.8656730549601843,0.8145684122920417,0.7526819066245054,0.7526819066245054,102,1.1501180609514072,0.9745548479291665,1.42244995375936,False,,0.7526819066245054,0.7526819066245054,102,1.1501180609514072,0.9745755106059611,1.4096196257464824,False,,2.0856051777119107,2.0856051777119107,102,0.415070438168888,0.3765009078839647,0.4595634637779931,False,,1.8775534051574554,1.8775534051574554,102,0.46106441104805074,0.42737412535286756,0.5027847771135755,False,
canthal_tilt_asymmetry,deg,pose_invariant_ratio,,,0.6422733565128967,0.46265203907269103,0.7203350946777146,0.37530389661691294,0.37530389661691294,102,1.2327397696724094,1.0891820611834209,1.4449019919629649,True,,0.37530389661691294,0.37530389661691294,102,1.2327397696724094,1.0984910638889378,1.4346409381560825,True,,1.5420566740062074,1.5420566740062074,102,0.30002272087104154,0.27257795709532284,0.333445045009572,False,,1.6426251381269918,1.6426251381269918,102,0.2816540599154786,0.2631329368178903,0.303121798428867,False,
brow_apex_lateral_offset_l,ratio,conventional,,,-0.06064330167802272,0.04386169692951318,0.7232735638701012,2.0664783272133995,0.022914836793766987,102,0.3500029757609022,0.23213914781444267,0.9436842869593035,False,False,2.0664783272133995,0.022914836793766987,102,0.3500029757609022,0.23474447636629658,0.9058906691601306,False,False,25.43443222462695,0.36816287063983405,102,0.028436788267276115,0.019129257764849517,0.06761339430284319,False,False,48.75419361348779,0.26364397795707417,102,0.014835104639491123,0.009153239440103812,0.09480780883218158,False,False
margin_reflex_distance_1_l,mm,conventional,,0.06,3.7996408402494195,0.568749271913465,0.14968500861679618,0.07744588685602208,0.28376807977257557,102,1.9327689912709276,1.6735030170649972,2.2964186358470795,True,True,0.07744588685602208,0.28376807977257557,102,1.9327689912709276,1.6717607621642616,2.32541281123324,True,True,0.1592430601074327,0.8296304243792583,102,0.9399782226981307,0.8727695446621623,1.0275985930697962,False,False,0.22689982800332079,1.0379328586565304,102,0.6596964393230191,0.6348637371346141,0.6882257080944741,False,False
margin_reflex_distance_2_l,mm,conventional,,0.06,5.026280659588289,0.4362076256413496,0.08678536977620348,0.12741580182313736,0.5658894166830284,102,0.6811193630180035,0.5929142581813137,0.791571892002829,False,False,0.12741580182313736,0.5658894166830284,102,0.6811193630180035,0.5816414058007617,0.7989472334667781,False,False,0.1389020211828477,0.8613375123776079,102,0.6247955863936713,0.5474416316475905,0.7208358878818762,False,False,0.20806719576239854,1.190863191852921,102,0.417102606964087,0.39411118787800586,0.4406217476617782,False,False
medial_canthal_angle_l,deg,conventional,,,31.495051521554604,2.9719044072947063,0.09436099525859776,2.502635096153593,2.502635096153593,102,1.1875100816185122,1.0219604454950284,1.4007572957122811,True,,2.502635096153593,2.502635096153593,102,1.1875100816185122,1.0314006209416355,1.363321624588316,True,,3.9367689333380933,3.9367689333380933,102,0.7549095356162415,0.685900985314944,0.8470880115757873,False,,6.9709227995638985,6.9709227995638985,102,0.42632869316536237,0.4099726844833761,0.44283758045691224,False,
brow_apex_lateral_offset_r,ratio,conventional,,,-0.04467897078828557,0.04622015420422873,1.0344946042568028,1.942185582099257,0.02601350322510825,102,0.5326445700099601,0.3597784480351788,1.2943194480966809,False,False,1.942185582099257,0.02601350322510825,102,0.5326445700099601,0.3560063706832258,1.3061082847161196,False,False,29.386795278731846,0.34040234116345974,102,0.03520270224924796,0.025707859071112366,0.0601794971060739,False,False,27.218107225136286,0.24927506953229853,102,0.038007587952384625,0.028241854481193842,0.06106624789702666,False,False
