id,distance_m,value,deviation
eye_aspect_ratio_r,2.0,0.3797648885557007,0.006713222925265437
eye_aspect_ratio_r,3.0,0.3789190098420475,0.0044708953386782685
intercanthal_biocular_ratio,0.3,0.3674810302528114,0.033557046979866036
intercanthal_biocular_ratio,0.4,0.3644832407349884,0.025125628140703606
intercanthal_biocular_ratio,0.5,0.36268938275042767,0.02008032128514069
intercanthal_biocular_ratio,0.7,0.3606436650488369,0.014326647564469943
intercanthal_biocular_ratio,1.0,0.3591124514986482,0.010020040080160253
intercanthal_biocular_ratio,1.5,0.3579233248208204,0.006675567423231168
intercanthal_biocular_ratio,2.0,0.35732935664040383,0.005005005005005068
intercanthal_biocular_ratio,3.0,0.3567357847029362,0.0033355570380254017
nose_mouth_width_ratio,0.3,0.644688667262056,-0.013888888888888716
