id,axis,pipeline_noise,slope_ortho,slope_persp1m,crossover_deg_ortho,crossover_deg_persp1m
gonial_angle_l,pitch,0.010938124015194221,0.0,0.026455750674850266,,0.4134497693763184
gonial_angle_l,roll,0.010938124015194221,1.146603724002815,1.0004132387711877,0.009539585286718786,0.0109336058253583
gonial_angle_r,yaw,0.010938124015194221,0.4472000192136548,0.22208597399945945,0.024459131362354457,0.04925175515686031
gonial_angle_r,pitch,0.010938124015194221,0.0,0.021448505403456865,,0.5099713853922576
gonial_angle_r,roll,0.010938124015194221,1.146603724002815,1.2748843800677725,0.009539585286718786,0.008579698823051509
e_line_upper_lip,yaw,0.025729476239176888,0.0010051097006478838,0.0012632269638001806,25.598674674607082,20.368054970719275
e_line_upper_lip,pitch,0.025729476239176888,0.00792079406901799,0.00792079406901799,3.248345559167756,3.248345559167756
e_line_upper_lip,roll,0.025729476239176888,0.0005326294971783941,0.001510906193645347,48.30651771161538,17.029168552879952
e_line_lower_lip,yaw,0.011411745651096433,0.0010051097006470134,0.001211648053207682,11.353731481996856,9.418366679074264
e_line_lower_lip,pitch,0.011411745651096433,0.007920794069017894,0.007920794069017894,1.440732526519451,1.440732526519451
e_line_lower_lip,roll,0.011411745651096433,0.0005326294971779281,0.0017182093335188324,21.42529790700696,6.641650367319085
nasal_tip_projection_ratio,yaw,0.00025216937250951987,0.00988603186431523,0.009307739329568288,0.025507643103979287,0.027092440342462405
nasal_tip_projection_ratio,pitch,0.00025216937250951987,0.005209445330007914,0.0050136497777949224,0.04840618463868912,0.050296567108927125
nasal_tip_projection_ratio,roll,0.00025216937250951987,0.0010604133498203073,0.0010426021813820926,0.23780290256837233,0.24186537973212324
submental_length,yaw,0.00013258303942337567,0.0015179759767256413,0.0014869059450487861,0.08734198792089232,0.08916706525040194
submental_length,pitch,0.00013258303942337567,0.0,0.0,,
submental_length,roll,0.00013258303942337567,1.2297665178672438e-06,0.0015017802688368717,107.81155406093787,0.08828391354885838
chin_projection,yaw,0.0020657034429400305,0.0015192246987792758,0.001515039441410071,1.3597089651055965,1.363465126041503
chin_projection,pitch,0.0020657034429400305,0.19101299543362335,0.19101299543362335,0.010814465467392027,0.010814465467392027
chin_projection,roll,0.0020657034429400305,0.0,0.0046565677119212445,,0.44361073879622503
brow_apex_lateral_offset_l,yaw,0.00034973260384607834,0.008102117090230744,0.008680811621352346,0.043165582520126006,0.04028800751600632
brow_apex_lateral_offset_l,pitch,0.00034973260384607834,0.00050947988412318,0.0008144497977630206,0.6864502696666261,0.4294096515299763
brow_apex_lateral_offset_l,roll,0.00034973260384607834,1.615972649513357e-17,0.00029166734003594033,21642235340517.598,1.1990804448759431
margin_reflex_distance_1_l,yaw,0.0019173127233047334,0.0,0.0005501215436093578,,3.4852529328795385
margin_reflex_distance_1_l,pitch,0.0019173127233047334,0.0015192246987792129,0.0015195061286267899,1.2620336707568063,1.2617999277419498
margin_reflex_distance_1_l,roll,0.0019173127233047334,0.0015192246987792129,0.0015192246987792129,1.2620336707568063,1.2620336707568063
margin_reflex_distance_2_l,yaw,0.0015848478026605063,0.0,0.0005501215436093743,,2.8809048128932426
margin_reflex_distance_2_l,pitch,0.0015848478026605063,0.0015192246987792118,0.0015213220227986244,1.0431951270500188,1.0417569580337895
margin_reflex_distance_2_l,roll,0.0015848478026605063,0.0015192246987791782,0.0015192246987791782,1.043195127050042,1.043195127050042
medial_canthal_angle_l,yaw,0.033880134598426204,0.07615449697986562,0.08638154817662844,0.4448868542508228,0.3922149499931385
medial_canthal_angle_l,pitch,0.033880134598426204,0.052364609698913614,0.05295725811542731,0.6470044328264916,0.639763760513809
medial_canthal_angle_l,roll,0.033880134598426204,3.552713678800501e-16,0.0026180312562033236,95364100970459.06,12.941073380292362
brow_apex_lateral_offset_r,yaw,0.00039129717555990096,0.008122453729237648,0.008701346274663086,0.04817474972512119,0.04496972804073952
brow_apex_lateral_offset_r,pitch,0.00039129717555990096,0.0006101279822173584,0.0009096852930970307,0.641336222832837,0.4301456542489839
brow_apex_lateral_offset_r,roll,0.00039129717555990096,8.093453714814174e-18,0.00029238512725187195,48347366816180.67,1.3382937061050384
margin_reflex_distance_1_r,yaw,0.0015543521751720788,0.0,0.000550121543609369,,2.8254704678059204
margin_reflex_distance_1_r,pitch,0.0015543521751720788,0.001519224698779195,0.0015194654514310538,1.023121975584725,1.0229598663847002
