condition,id,axis,angle_deg,value,deviation
3d,philtrum_width,yaw,-7.5,11.0,0.0
3d,philtrum_width,yaw,-5.0,11.0,0.0
3d,philtrum_width,yaw,-2.5,11.0,0.0
3d,philtrum_width,yaw,0.0,11.0,0.0
3d,philtrum_width,yaw,2.5,11.0,0.0
3d,philtrum_width,yaw,5.0,11.0,0.0
3d,philtrum_width,yaw,7.5,11.0,0.0
3d,philtrum_width,yaw,10.0,11.0,0.0
3d,philtrum_width,yaw,12.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,15.0,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,17.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,20.0,11.0,0.0
3d,philtrum_width,yaw,22.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,yaw,25.0,11.0,0.0
3d,philtrum_width,yaw,27.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,yaw,30.0,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,pitch,-30.0,11.0,0.0
3d,philtrum_width,pitch,-27.5,11.0,0.0
3d,philtrum_width,pitch,-25.0,11.0,0.0
3d,philtrum_width,pitch,-22.5,11.0,0.0
3d,philtrum_width,pitch,-20.0,11.0,0.0
3d,philtrum_width,pitch,-17.5,11.0,0.0
3d,philtrum_width,pitch,-15.0,11.0,0.0
3d,philtrum_width,pitch,-12.5,11.0,0.0
3d,philtrum_width,pitch,-10.0,11.0,0.0
3d,philtrum_width,pitch,-7.5,11.0,0.0
3d,philtrum_width,pitch,-5.0,11.0,0.0
3d,philtrum_width,pitch,-2.5,11.0,0.0
3d,philtrum_width,pitch,0.0,11.0,0.0
3d,philtrum_width,pitch,2.5,11.0,0.0
3d,philtrum_width,pitch,5.0,11.0,0.0
3d,philtrum_width,pitch,7.5,11.0,0.0
3d,philtrum_width,pitch,10.0,11.0,0.0
3d,philtrum_width,pitch,12.5,11.0,0.0
3d,philtrum_width,pitch,15.0,11.0,0.0
3d,philtrum_width,pitch,17.5,11.0,0.0
3d,philtrum_width,pitch,20.0,11.0,0.0
3d,philtrum_width,pitch,22.5,11.0,0.0
3d,philtrum_width,pitch,25.0,11.0,0.0
3d,philtrum_width,pitch,27.5,11.0,0.0
3d,philtrum_width,pitch,30.0,11.0,0.0
3d,philtrum_width,roll,-30.0,11.000000000000002,1.6148698540002277e-16
